VT("/net2") X,VT("/net2") Y,VT("/net7") X,VT("/net7") Y,VT("/net14") X,VT("/net14") Y,VT("/net039") X,VT("/net039") Y,VT("/net069") X,VT("/net069") Y
9.997826506741157e-07,0.7993477303377445,9.997826506741157e-07,7.480145342247734e-05,9.997826506741157e-07,3.446579454475719e-05,9.997826506741157e-07,8.130088943865353e-05,9.997826506741157e-07,8.09103805918354e-05
9.99787134083552e-07,0.7993165281423413,9.99787134083552e-07,3.064524830331301e-05,9.99787134083552e-07,4.382214065067964e-06,9.99787134083552e-07,2.524815530753494e-05,9.99787134083552e-07,2.407989704574317e-05
9.997887352659415e-07,0.7993079447263076,9.997887352659415e-07,2.038637975495497e-05,9.997887352659415e-07,-4.603573011150007e-07,9.997887352659415e-07,1.06853295513679e-05,9.997887352659415e-07,9.00768353000612e-06
9.997913512483393e-07,0.7993008188063253,9.997913512483393e-07,8.341108733519703e-06,9.997913512483393e-07,-3.225792574850399e-06,9.997913512483393e-07,-4.575205925326654e-06,9.997913512483393e-07,-6.583560339994361e-06
9.997948932902277e-07,0.7992864134556251,9.997948932902277e-07,-1.726965388876998e-05,9.997948932902277e-07,-1.38134123592579e-05,9.997948932902277e-07,-3.261676213916954e-05,9.997948932902277e-07,-3.392320077097427e-05
9.997979540697984e-07,0.7992691592409191,9.997979540697984e-07,-4.355999543780728e-05,9.997979540697984e-07,-2.805234424468191e-05,9.997979540697984e-07,-6.209354974940528e-05,9.997979540697984e-07,-6.252564537596209e-05
9.998020216552865e-07,0.7992666128778773,9.998020216552865e-07,-5.475594236873186e-05,9.998020216552865e-07,-3.279208019768832e-05,9.998020216552865e-07,-7.327681413210329e-05,9.998020216552865e-07,-7.279522873726479e-05
9.998060960866545e-07,0.7992675527670189,9.998060960866545e-07,-6.642127774160995e-05,9.998060960866545e-07,-3.890873038476477e-05,9.998060960866545e-07,-8.202734782842227e-05,9.998060960866545e-07,-8.117549676538461e-05
9.998128174797598e-07,0.7992860796080573,9.998128174797598e-07,-6.573813487413748e-05,9.998128174797598e-07,-3.715986173694347e-05,9.998128174797598e-07,-7.396321857309017e-05,9.998128174797598e-07,-7.358840131105909e-05
9.998148429354496e-07,0.7993005759778282,9.998148429354496e-07,-5.457923479641913e-05,9.998148429354496e-07,-2.952223473962742e-05,9.998148429354496e-07,-5.92663551198866e-05,9.998148429354496e-07,-5.88528906106201e-05
9.998188938468292e-07,0.7993467958294634,9.998188938468292e-07,-1.375505286530146e-05,9.998188938468292e-07,-2.560730902097427e-06,9.998188938468292e-07,-8.06922952785976e-06,9.998188938468292e-07,-6.842136184950267e-06
9.998201880414514e-07,0.799362294832422,9.998201880414514e-07,-9.446041330324014e-07,9.998201880414514e-07,5.580536418391137e-06,9.998201880414514e-07,8.307794791205059e-06,9.998201880414514e-07,9.916645457764022e-06
9.998227764306957e-07,0.7993844471091108,9.998227764306957e-07,1.436811446588779e-05,9.998227764306957e-07,1.445047303180062e-05,9.998227764306957e-07,2.830090919192847e-05,9.998227764306957e-07,3.124755301903955e-05
9.998237480212579e-07,0.7993882100537885,9.998237480212579e-07,1.549347873730051e-05,9.998237480212579e-07,1.454677918936301e-05,9.998237480212579e-07,2.979105602800245e-05,9.998237480212579e-07,3.385702111577795e-05
9.998256912023823e-07,0.799394223646153,9.998256912023823e-07,1.820414696084266e-05,9.998256912023823e-07,1.502231120673912e-05,9.998256912023823e-07,3.187810222442875e-05,9.998256912023823e-07,3.907387551238325e-05
9.998284890419129e-07,0.7994080572589962,9.998284890419129e-07,3.020368764625223e-05,9.998284890419129e-07,2.148364200725837e-05,9.998284890419129e-07,4.345885503858301e-05,9.998284890419129e-07,5.389179582043875e-05
9.998295220419257e-07,0.7994136472397947,9.998295220419257e-07,3.520197660807279e-05,9.998295220419257e-07,2.436468796973838e-05,9.998295220419257e-07,4.851462807627316e-05,9.998295220419257e-07,5.949073062900567e-05
9.998315880419512e-07,0.7994199438451937,9.998315880419512e-07,3.85758027009798e-05,9.998315880419512e-07,2.571300218922624e-05,9.998315880419512e-07,5.131683842815562e-05,9.998315880419512e-07,6.179191362268146e-05
9.998338167643771e-07,0.7994261030240378,9.998338167643771e-07,4.24171124773719e-05,9.998338167643771e-07,2.722114099010794e-05,9.998338167643771e-07,5.383637698514631e-05,9.998338167643771e-07,6.225934557453278e-05
9.998373758457136e-07,0.7994445277601605,9.998373758457136e-07,5.942589288383675e-05,9.998373758457136e-07,3.697067183433117e-05,9.998373758457136e-07,7.074492562053664e-05,9.998373758457136e-07,7.572798691836191e-05
9.998409007556975e-07,0.7994680325361088,9.998409007556975e-07,8.134868268611628e-05,9.998409007556975e-07,4.99793821887789e-05,9.998409007556975e-07,9.452716958083296e-05,9.998409007556975e-07,9.678518397348658e-05
9.998448131147916e-07,0.7994843192809469,9.998448131147916e-07,9.376858406656721e-05,9.998448131147916e-07,5.612044339823038e-05,9.998448131147916e-07,0.0001069754391289685,9.998448131147916e-07,0.0001075473709333712
9.99846484067809e-07,0.799485247609628,9.99846484067809e-07,9.202097340373083e-05,9.99846484067809e-07,5.396427948513203e-05,9.99846484067809e-07,0.0001039269966001822,9.99846484067809e-07,0.0001030941875198859
9.998498259738439e-07,0.7994709190934887,9.998498259738439e-07,7.200401183913073e-05,9.998498259738439e-07,3.91277358949883e-05,9.998498259738439e-07,7.707064982075189e-05,9.998498259738439e-07,6.785435146061065e-05
9.998534355866469e-07,0.7994496340459041,9.998534355866469e-07,4.707610534033289e-05,9.998534355866469e-07,2.208809958684314e-05,9.998534355866469e-07,4.267980538897221e-05,9.998534355866469e-07,9.80563139408938e-06
9.998542246755722e-07,0.7994480728376471,9.998542246755722e-07,4.558278846994191e-05,9.998542246755722e-07,2.121838582908517e-05,9.998542246755722e-07,3.974330306606214e-05,9.998542246755722e-07,-1.975065106892308e-06
9.998558028534229e-07,0.7994455293886978,9.998558028534229e-07,4.212575145934215e-05,9.998558028534229e-07,1.934906858407759e-05,9.998558028534229e-07,3.442220530663652e-05,9.998558028534229e-07,-2.700466446083611e-05
9.998589592091242e-07,0.7994236784195018,9.998589592091242e-07,1.219251402997912e-05,9.998589592091242e-07,5.225065627702151e-07,9.998589592091242e-07,-7.31622057186181e-08,9.998589592091242e-07,-8.671571381259195e-05
9.998621210691114e-07,0.7993949114769653,9.998621210691114e-07,-2.464606087609697e-05,9.998621210691114e-07,-2.249660148281671e-05,9.998621210691114e-07,-4.260417684561949e-05,9.998621210691114e-07,-0.0001317456272317152
9.998634819441181e-07,0.7993834324385307,9.998634819441181e-07,-3.896756422510327e-05,9.998634819441181e-07,-3.109260228654931e-05,9.998634819441181e-07,-5.905051668363842e-05,9.998634819441181e-07,-0.0001425113715617224
9.998662036941315e-07,0.7993728684710701,9.998662036941315e-07,-5.306945863435687e-05,9.998662036941315e-07,-3.810641504545382e-05,9.998662036941315e-07,-7.457761926676835e-05,9.998662036941315e-07,-0.0001421502331088456
9.998693923884996e-07,0.7993657893991722,9.998693923884996e-07,-6.723246810172029e-05,9.998693923884996e-07,-4.466700339406689e-05,9.998693923884996e-07,-8.752523258928968e-05,9.998693923884996e-07,-0.0001381529575380896
9.998709867356836e-07,0.7993608517645079,9.998709867356836e-07,-7.7316011546076e-05,9.998709867356836e-07,-5.001861790671912e-05,9.998709867356836e-07,-9.680362857451313e-05,9.998709867356836e-07,-0.0001404568753397665
9.998741754300517e-07,0.799351196063799,9.998741754300517e-07,-9.543013714291971e-05,9.998741754300517e-07,-5.964785768303146e-05,9.998741754300517e-07,-0.000114600456425537,9.998741754300517e-07,-0.0001520174175535619
9.998789404125415e-07,0.7993546857073661,9.998789404125415e-07,-9.963168566729392e-05,9.998789404125415e-07,-5.907452816406685e-05,9.998789404125415e-07,-0.0001150237859654344,9.998789404125415e-07,-0.0001538804207963107
9.998847541943565e-07,0.7994127610043846,9.998847541943565e-07,-4.293172026672168e-05,9.998847541943565e-07,-1.960445687964295e-05,9.998847541943565e-07,-4.099227630414133e-05,9.998847541943565e-07,-5.206327396470514e-05
9.998861536057088e-07,0.799434805008976,9.998861536057088e-07,-2.015002555093999e-05,9.998861536057088e-07,-4.523146951207456e-06,9.998861536057088e-07,-1.208395268447549e-05,9.998861536057088e-07,-9.216213662206544e-06
9.998889524284135e-07,0.7994726361522356,9.998889524284135e-07,1.756128249363781e-05,9.998889524284135e-07,1.934325780194141e-05,9.998889524284135e-07,3.71840890206337e-05,9.998889524284135e-07,0.0001169208166871433
9.998936913932781e-07,0.7995087309550329,9.998936913932781e-07,5.263341116931354e-05,9.998936913932781e-07,3.847470771948985e-05,9.998936913932781e-07,8.361007068142665e-05,9.998936913932781e-07,0.0004563125062289946
9.998968413464329e-07,0.7995174343743637,9.998968413464329e-07,6.204077655077168e-05,9.998968413464329e-07,4.183130362457841e-05,9.998968413464329e-07,9.133295559706812e-05,9.998968413464329e-07,0.0006503669587890507
9.998980336373731e-07,0.7995165516296385,9.998980336373731e-07,6.104563509205936e-05,9.998980336373731e-07,4.012767826294883e-05,9.998980336373731e-07,8.768043373201019e-05,9.998980336373731e-07,0.0007064632663892029
9.999003552335681e-07,0.7995146582267209,9.999003552335681e-07,5.954397766462764e-05,9.999003552335681e-07,3.746778747772077e-05,9.999003552335681e-07,7.971924571967874e-05,9.999003552335681e-07,0.0007807051257490099
9.999035452654709e-07,0.7995221963146575,9.999035452654709e-07,7.008481539565707e-05,9.999035452654709e-07,4.285821535719304e-05,9.999035452654709e-07,8.347306872267244e-05,9.999035452654709e-07,0.0008506082507144448
9.999062457687591e-07,0.7995326988347647,9.999062457687591e-07,8.178724301902322e-05,9.999062457687591e-07,4.948977799138288e-05,9.999062457687591e-07,9.280502545058778e-05,9.999062457687591e-07,0.0008979314267030932
9.999107498018601e-07,0.7995475539950376,9.999107498018601e-07,9.639180266398781e-05,9.999107498018601e-07,5.708798349825823e-05,9.999107498018601e-07,0.0001057030204780088,9.999107498018601e-07,0.0009629204985343357
9.999165805788479e-07,0.7995467271558242,9.999165805788479e-07,9.245870978417477e-05,9.999165805788479e-07,5.198084794336578e-05,9.999165805788479e-07,9.734780445710731e-05,9.999165805788479e-07,0.001082825993494422
